CountryName	avg_latitude	avg_longitude	avg_minrtt	median_minrtt	avg_meanthroughputmbps	avg_lossraate	MostRecentTestTime	LeastRecentTestTime	TestSpanDays	count_measurements
Saint Barthélemy	17.8833	-62.85	133.51242875481407	131.065	26.671673502531355	0.044759525647624178	2023-04-30 13:04:47.689881 UTC	2022-08-13 03:41:17.271398 UTC	260	1558
United States	38.74001855000877	-99.336863046826181	302.35495672552184	32.444	27.503906318691442	0.023438758189146217	2023-04-30 23:59:39.783426 UTC	2022-05-01 23:35:15.716970 UTC	364	6549819
Indonesia	-6.2114	106.8446	93.045225806451612	86.3255	28.656672365341322	0.024225930460848553	2023-04-26 01:16:11.795263 UTC	2023-02-17 02:23:19.570028 UTC	67	31
Brazil	-23.5335	-46.6359	641.46086384943146	44.984	28.773073822029342	0.029946102908427079	2023-04-30 23:59:00.104042 UTC	2022-05-02 10:00:23.119575 UTC	363	253440
Mozambique	-25.9707	32.601	427.06418181818179	440.894	8.1570414602604231	0.018660072258910258	2023-04-06 16:51:57.972990 UTC	2022-11-07 16:08:17.713719 UTC	150	33
Ireland	53.337905686378647	-6.2591	337.22735772954837	38.09	46.106448125159936	0.02114023192563343	2023-04-30 23:59:20.927747 UTC	2022-05-02 00:14:09.836154 UTC	363	58561
New Zealand	-36.850693215474664	174.7679462093829	385.76222177736753	31.975	48.5850181792936	0.016112968006416626	2023-04-30 23:56:19.102595 UTC	2022-05-02 00:08:48.067636 UTC	363	124386
Italy	41.8904	12.5126	392.2799334321042	54.41	42.787314154563667	0.022280628876634512	2023-04-30 23:06:31.908822 UTC	2022-05-02 06:27:37.590861 UTC	363	105967
Sweden	59.3287	18.0717	84.124569676700219	62.028999999999996	39.433573463162212	0.025273602214756746	2023-04-30 20:02:20.165821 UTC	2022-05-03 21:04:44.368573 UTC	361	897
Mexico	19.4326	-99.1332	1017.9265492676731	82.966	21.089008462266793	0.032503355607270357	2023-04-30 23:59:34.283091 UTC	2022-05-02 00:21:27.933058 UTC	363	377479
Australia	-33.830881722431442	151.06230517247897	531.77104334258183	43.115	37.259634220821106	0.021403588031214307	2023-04-30 23:58:56.603387 UTC	2022-05-02 00:01:17.200959 UTC	363	778911
Philippines	14.6019	120.9896	190.76565495369323	156.85750000000002	18.3276606250619	0.027586648917605476	2023-04-30 23:51:59.392923 UTC	2022-12-07 05:01:34.287516 UTC	144	25698
Chile	-33.451465540848453	-70.662878965092119	678.43877543443182	52.631	30.887953814605169	0.024604230159379185	2023-04-30 23:29:49.560796 UTC	2022-05-02 00:27:20.315764 UTC	363	72451
Germany	52.5196	13.4069	350.96322850970927	39.777	43.916922248320461	0.017516787980322537	2023-04-30 23:57:20.396023 UTC	2022-05-02 05:13:41.123476 UTC	363	154151
Martinique	14.607084129823646	-61.072572757475136	140.09136544850529	138.567	31.591980288877743	0.02984900846023647	2023-04-30 23:58:34.333265 UTC	2022-10-11 21:49:32.437311 UTC	201	3913
Portugal	38.757090664212882	-9.1102661257041557	537.08657492610814	41.394000000000005	46.158026043517559	0.020730023521394952	2023-04-30 23:50:10.656434 UTC	2022-05-02 00:11:19.533204 UTC	363	17931
Puerto Rico	18.3861	-66.0434	71.750938504542418	68.8515	41.882594531049641	0.026562053334368809	2023-04-30 20:28:14.646276 UTC	2022-05-02 00:41:26.992985 UTC	363	1431
Colombia	4.6154761498471286	-74.081351963302041	1537.289336024452	58.286	23.204142146925562	0.039635805653544257	2023-04-30 23:55:44.264118 UTC	2022-08-05 04:16:44.571483 UTC	268	32700
Slovenia	46.051559999999995	14.51243	62.418599999999991	57.665	33.085999689749926	0.086974859180246625	2023-02-06 18:18:35.924965 UTC	2022-09-04 10:25:30.101508 UTC	155	20
Spain	40.4163	-3.6934	327.69533496466721	30.004	51.254452982727521	0.017822080324997675	2023-04-30 23:58:03.523358 UTC	2022-05-02 01:00:06.016933 UTC	363	45566
Greece	37.9842	23.7353	93.440733766233734	88.8955	57.421590617722	0.0281065360949937	2023-04-29 19:36:16.727188 UTC	2022-05-30 17:01:39.214631 UTC	334	308
Japan	35.6893	139.6899	92.590847630647971	59.028499999999994	46.232989029159079	0.016244865157928844	2023-04-30 23:56:18.450402 UTC	2022-10-04 02:02:38.306537 UTC	208	17241
Poland	52.2296	21.0067	62.419048387096794	56.0385	25.93317535613286	0.017756279311805002	2023-04-29 07:50:35.337474 UTC	2022-09-15 11:41:52.798746 UTC	225	248
Bulgaria	42.6951	23.325	91.47425974025974	85.195	23.216766388244228	0.013124723817340972	2023-04-29 06:59:13.656168 UTC	2022-09-18 06:50:30.381137 UTC	223	77
