,CountryName,MNOName,Rank,Virtual
123,Poland,Play,2,False
124,Poland,Plus (Formerly Plus GSM),3,False
125,Poland,T-Mobile (Formerly Era),4,False
126,Portugal,MEO  (Formerly TMN),1,False
127,Portugal,NOS  (Formerly Optimus),2,False
128,Portugal,Vodafone  (Formerly Telecel),3,False
129,Romania,Orange(Formerly Dialog),1,False
130,Romania,Vodafone (Formerly Connex),2,False
131,Romania,Digi,3,False
132,Romania,"Telekom (Formerly Cosmorom, Cosmote) ",4,False
133,Russia,MTS,1,False
134,Russia,MegaFon,2,False
135,Russia,Beeline,3,False
136,Russia,Tele2 Russia,4,False
137,San Marino,Telefonia Mobile Sammarinese (TMS),1,False
138,Serbia,mts,1,False
139,Serbia,Yettel,2,False
140,Serbia,A1,3,False
141,Slovakia,"Orange  (Formerly Globtel, Slovtel)",1,False
142,Slovakia,"O2  (Formerly Telefonica, O2 Telefonica)",2,False
143,Slovakia,"Telekom  (Formerly Eurotel, T-Mobile)",3,False
144,Slovakia,4ka (SWAN),4,False
145,Slovenia,Telekom Slovenije(formerly Mobitel),1,False
146,Slovenia,A1(formerly Si.mobil),2,False
147,Slovenia,Telemach(formerly Tušmobil),3,False
148,Slovenia,T-2,4,False
149,Spain,Movistar,1,False
150,Spain,Orange  (Formerly Amena),2,False
151,Spain,Vodafone  (Formerly Airtel),3,False
152,Spain,"Yoigo
",4,False
153,Sweden,Telia,1,False
154,Sweden,Tele2 ,2,False
155,Sweden,Telenor  (Formerly Vodafone),3,False
156,Sweden,Tre,4,False
157,Switzerland,Swisscom,1,False
158,Switzerland,Sunrise  (Formerly diAx),2,False
159,Switzerland,Salt   (formerly Orange CH),3,False
160,Turkey,Turkcell,1,False
161,Turkey,Vodafone Turkiye  (Formerly Telsim),2,False
162,Turkey,"Türk Telekom  (Formerly Avea, Aria, Aycell)",3,False
163,Ukraine,"Kyivstar*
(Including previous Beeline Ukraine network)

",1,False
164,Ukraine,Vodafone* (Formerly MTS Ukraine),2,False
165,Ukraine,lifecell* (Formerly life:) ),3,False
166,Ukraine,Intertelecom,4,False
167,Ukraine,TriMob*,5,False
168,Ukraine,PEOPLEnet,6,False
169,United Kingdom,"O2
",1,False
170,United Kingdom,"EE
",2,False
171,United Kingdom,"Vodafone
",3,False
172,United Kingdom,Three,4,False
0,Anguilla,Digicel,1,False
1,Anguilla,FLOW,2,False
2,Antigua and Barbuda,Digicel,1,False
3,Antigua and Barbuda,FLOW,2,False
4,Antigua and Barbuda,APUA (inet),3,False
5,Argentina,Claro,1,False
6,Argentina,Movistar,2,False
7,Argentina,Personal,3,False
8,Argentina,Tuenti[8] (using Movistar network),4,True
9,Argentina,Nuestro[11] (using Personal network),5,True
10,Aruba,Digicel,1,False
