,CountryName,MNOName,Rank,Virtual
131,Romania,Vodafone (Formerly Connex),2,False
132,Romania,Digi,3,False
133,Romania,"Telekom (Formerly Cosmorom, Cosmote) ",4,False
144,Slovakia,"Orange  (Formerly Globtel, Slovtel)",1,False
145,Slovakia,"O2  (Formerly Telefonica, O2 Telefonica)",2,False
146,Slovakia,"Telekom  (Formerly Eurotel, T-Mobile)",3,False
147,Slovakia,4ka (SWAN),4,False
148,Slovenia,Telekom Slovenije(formerly Mobitel),1,False
149,Slovenia,A1(formerly Si.mobil),2,False
150,Slovenia,Telemach(formerly Tušmobil),3,False
151,Slovenia,T-2,4,False
152,Spain,Movistar,1,False
153,Spain,Orange  (Formerly Amena),2,False
154,Spain,Vodafone  (Formerly Airtel),3,False
155,Spain,"Yoigo
",4,False
156,Sweden,Telia,1,False
157,Sweden,Telenor  (Formerly Vodafone),2,False
158,Sweden,Tele2 ,3,False
159,Sweden,Tre,4,False
160,Switzerland,Swisscom,1,False
